id, palette, k, r, g, b, hue, sat, lum
0x000bbd8442, Normal, 11, 189, 132, 66, 32.19512195121951, 0.4823529411764706, 0.5
0x000bbdf63e, Normal, 11, 189, 246, 62, 78.58695652173913, 0.9108910891089108, 0.6039215686274509
0x000bbf149c, Normal, 11, 191, 20, 156, 312.280701754386, 0.8104265402843603, 0.4137254901960784
0x000bc08a19, Normal, 11, 192, 138, 25, 40.59880239520958, 0.7695852534562212, 0.42549019607843136
0x000bc11de1, Normal, 11, 193, 29, 225, 290.2040816326531, 0.7716535433070866, 0.4980392156862745
0x000bcdd9c7, Normal, 11, 205, 217, 199, 99.99999999999997, 0.19148936170212758, 0.8156862745098039
0x000bcefc9b, Normal, 11, 206, 252, 155, 88.4536082474227, 0.9417475728155345, 0.7980392156862746
0x000bcf8860, Normal, 11, 207, 136, 96, 21.62162162162162, 0.5362318840579711, 0.5941176470588235
0x000bcf9c4e, Normal, 11, 207, 156, 78, 36.27906976744187, 0.5733333333333334, 0.5588235294117647
0x000bd12f5a, Normal, 11, 209, 47, 90, 344.0740740740741, 0.6377952755905512, 0.5019607843137255
0x000bd3cfed, Normal, 11, 211, 207, 237, 247.99999999999997, 0.4545454545454547, 0.8705882352941177
0x000bd3db74, Normal, 11, 211, 219, 116, 64.66019417475728, 0.5885714285714285, 0.6568627450980392
0x000bd8c8ec, Normal, 11, 216, 200, 236, 266.6666666666667, 0.4864864864864869, 0.8549019607843138
0x000bd9f20c, Normal, 11, 217, 242, 12, 66.52173913043477, 0.905511811023622, 0.4980392156862745
0x000bdafcc8, Normal, 11, 218, 252, 200, 99.23076923076925, 0.8965517241379309, 0.8862745098039215
0x000bdbcb52, Normal, 11, 219, 203, 82, 52.99270072992701, 0.6555023923444975, 0.5901960784313726
0x000bdc9d12, Normal, 11, 220, 157, 18, 41.287128712871294, 0.8487394957983194, 0.4666666666666667
0x000bdd909f, Normal, 11, 221, 144, 159, 348.31168831168833, 0.5310344827586208, 0.7156862745098039
0x000bddd937, Normal, 11, 221, 217, 55, 58.554216867469876, 0.7094017094017095, 0.5411764705882354
0x000be07c8c, Normal, 11, 224, 124, 140, 350.4, 0.617283950617284, 0.6823529411764706
0x000be18b4c, Normal, 11, 225, 139, 76, 25.369127516778523, 0.7129186602870813, 0.5901960784313726
0x000be19a70, Normal, 11, 225, 154, 112, 22.30088495575221, 0.653179190751445, 0.6607843137254902
0x000be1f445, Normal, 11, 225, 244, 69, 66.5142857142857, 0.8883248730964468, 0.6137254901960785
0x000be2efb2, Normal, 11, 226, 239, 178, 72.78688524590164, 0.6559139784946237, 0.8176470588235294
0x000be3ed86, Normal, 11, 227, 237, 134, 65.82524271844662, 0.7410071942446046, 0.7274509803921569
0x000be3fc7b, Normal, 11, 227, 252, 123, 71.6279069767442, 0.9555555555555557, 0.7352941176470589
0x000be48c25, Normal, 11, 228, 140, 37, 32.35602094240838, 0.7795918367346939, 0.5196078431372549
0x000be7c9eb, Normal, 11, 231, 201, 235, 292.9411764705883, 0.4594594594594592, 0.8549019607843137
0x000beb7cb1, Normal, 11, 235, 124, 177, 331.35135135135135, 0.7350993377483441, 0.7039215686274509
0x000beb8f7b, Normal, 11, 235, 143, 123, 10.714285714285715, 0.7368421052631576, 0.7019607843137254
0x000bed2250, Normal, 11, 237, 34, 80, 346.4039408866995, 0.8493723849372385, 0.5313725490196078
